Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
172639984;2023.08.04 15:46:00;balance;Deposit for: 79043080;;;;;;;;;;10 000.00
172665018;2023.08.07 09:57:12;buy;1.00;gbpusd#;127.215;127.290;127.700;2023.08.07 11:32:12;127.290;0.00;0.00;0.00;68.31
172664924;2023.08.07 09:48:59;buy;0.02;eurusd#;109.774;109.600;110.000;2023.08.07 14:20:57;109.778;0.00;0.00;0.00;0.07
172677195;2023.08.07 16:50:33;sell;0.02;eurusd#;109.966;109.968;109.700;2023.08.07 17:14:06;109.970;0.00;0.00;0.00;-0.07
172677330;2023.08.07 16:53:10;sell;0.02;gbpusd#;127.744;127.830;127.360;2023.08.07 18:58:48;127.684;0.00;0.00;0.00;1.09
172694925;2023.08.08 09:56:57;sell;0.02;eurusd#;109.979;110.044;109.811;2023.08.08 10:31:03;109.809;0.00;0.00;0.00;3.10
172699615;2023.08.08 12:44:11;buy;0.02;gbpusd#;127.356;127.200;128.000;2023.08.08 13:19:32;127.200;0.00;0.00;0.00;-2.85
172702684;2023.08.08 14:18:03;buy;0.02;eurusd#;109.565;109.487;109.852;2023.08.08 14:22:44;109.491;0.00;0.00;0.00;-1.35
172831053;2023.08.14 12:03:36;buy;0.02;gbpusd#;127.010;126.940;127.087;2023.08.14 12:33:30;126.940;0.00;0.00;0.00;-1.28
172906613;2023.08.16 13:25:18;sell;0.02;gbpjpy#;185.609;185.801;184.817;2023.08.16 15:02:19;185.801;0.00;0.00;0.00;-2.41
172919096;2023.08.16 19:51:01;buy;0.02;eurusd#;108.907;108.850;109.051;2023.08.16 20:01:41;108.850;0.00;0.00;0.00;-1.05
172937912;2023.08.17 10:11:01;sell;0.02;eurusd#;108.777;108.767;108.627;2023.08.17 11:35:02;108.769;0.00;0.00;0.00;0.15
172940127;2023.08.17 12:09:07;buy;0.02;usdjpy#;146.280;146.161;146.478;2023.08.17 12:26:52;146.161;0.00;0.00;0.00;-1.50
172940457;2023.08.17 12:30:28;buy;0.02;gbpjpy#;185.904;186.159;186.460;2023.08.17 13:44:49;186.149;0.00;0.00;0.00;3.08
172947520;2023.08.17 15:48:31;buy;0.01;usdjpy#;145.870;0.000;0.000;2023.08.17 15:50:02;145.900;0.00;0.00;0.00;0.19
172947482;2023.08.17 15:47:28;buy;0.02;usdjpy#;145.820;145.820;146.067;2023.08.17 15:56:27;145.819;0.00;0.00;0.00;-0.02
172947656;2023.08.17 15:51:11;sell;0.02;eurusd#;109.033;109.179;108.884;2023.08.17 16:15:51;109.181;0.00;0.00;0.00;-2.71
