Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
176256490;2023.12.12 18:54:45;buy;0.01;gbpjpy#;182.543;182.577;0.000;2023.12.12 19:06:57;182.576;0.00;0.00;0.00;0.21
176251161;2023.12.12 17:52:52;sell;0.01;audusd#;0.65567;0.65532;0.00000;2023.12.12 19:14:06;0.65534;0.00;0.00;0.00;0.31
176211983;2023.12.12 13:04:49;buy;0.01;nzdusd#;0.61519;0.61541;0.00000;2023.12.12 13:15:26;0.61540;0.00;0.00;0.00;0.19
176207709;2023.12.12 11:57:04;sell;0.01;gbpusd#;125.648;125.632;0.00000;2023.12.12 13:53:42;125.633;0.00;0.00;0.00;0.14
176170150;2023.12.11 23:46:04;sell;0.01;usdchf#;0.87860;0.87580;0.00000;2023.12.12 09:43:43;0.87580;0.00;0.00;0.00;2.97
176169807;2023.12.11 23:21:07;buy;0.01;eurgbp#;0.85723;0.85782;0.00000;2023.12.12 10:02:32;0.85782;0.00;0.00;0.00;0.69
175859573;2023.12.06 23:33:35;buy;0.01;usdchf#;0.87496;0.87842;0.00000;2023.12.11 22:40:38;0.87841;0.00;0.00;0.00;3.65
175808856;2023.12.06 13:56:31;sell;0.01;audusd#;0.65729;0.65719;0.00000;2023.12.06 18:52:49;0.65720;0.00;0.00;0.00;0.09
175808852;2023.12.06 13:56:28;sell;0.01;nzdusd#;0.61498;0.61470;0.00000;2023.12.06 21:50:05;0.61470;0.00;0.00;0.00;0.26
175797012;2023.12.06 11:27:15;buy;0.01;gold#;2022.30;2023.55;0.00;2023.12.06 11:44:00;2023.47;0.00;0.00;0.00;1.08
175712426;2023.12.05 14:48:36;sell;0.01;gold#;2025.11;2024.34;0.00;2023.12.05 16:27:52;2024.37;0.00;0.00;0.00;0.68
175694208;2023.12.05 10:32:28;sell;0.01;eurgbp#;0.85717;0.85707;0.00000;2023.12.05 13:19:20;0.85707;0.00;0.00;0.00;0.12
175613661;2023.12.04 13:15:20;sell;0.01;gbpjpy#;185.831;185.828;0.000;2023.12.04 14:06:17;185.827;0.00;0.00;0.00;0.03
175606274;2023.12.04 11:13:54;buy;0.01;usdchf#;0.87302;0.87336;0.00000;2023.12.04 12:12:10;0.87333;0.00;0.00;0.00;0.33
175536917;2023.12.01 17:59:27;sell;0.01;gbpjpy#;186.516;186.437;0.000;2023.12.01 18:55:42;186.438;0.00;0.00;0.00;0.49
175507616;2023.12.01 12:34:59;buy;0.01;nzdusd#;0.61743;0.61756;0.00000;2023.12.01 17:02:59;0.61756;0.00;0.00;0.00;0.12
175506785;2023.12.01 12:15:18;sell;0.01;eurgbp#;0.86065;0.86043;0.00000;2023.12.01 15:49:46;0.86043;0.00;0.00;0.00;0.26
175481493;2023.12.01 09:20:38;buy;0.01;eurgbp#;0.86300;0.86317;0.00000;2023.12.01 09:51:41;0.86317;0.00;0.00;0.00;0.20
