Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
176256490;2023.12.12 18:54:45;buy;0.01;gbpjpy#;182.543;182.577;0.000;2023.12.12 19:06:57;182.576;0.00;0.00;0.00;0.21
176251161;2023.12.12 17:52:52;sell;0.01;audusd#;0.65567;0.65532;0.00000;2023.12.12 19:14:06;0.65534;0.00;0.00;0.00;0.31
176211983;2023.12.12 13:04:49;buy;0.01;nzdusd#;0.61519;0.61541;0.00000;2023.12.12 13:15:26;0.61540;0.00;0.00;0.00;0.19
176207709;2023.12.12 11:57:04;sell;0.01;gbpusd#;125.648;125.632;0.00000;2023.12.12 13:53:42;125.633;0.00;0.00;0.00;0.14
176170150;2023.12.11 23:46:04;sell;0.01;usdchf#;0.87860;0.87580;0.00000;2023.12.12 09:43:43;0.87580;0.00;0.00;0.00;2.97
176169807;2023.12.11 23:21:07;buy;0.01;eurgbp#;0.85723;0.85782;0.00000;2023.12.12 10:02:32;0.85782;0.00;0.00;0.00;0.69
175859573;2023.12.06 23:33:35;buy;0.01;usdchf#;0.87496;0.87842;0.00000;2023.12.11 22:40:38;0.87841;0.00;0.00;0.00;3.65
175808856;2023.12.06 13:56:31;sell;0.01;audusd#;0.65729;0.65719;0.00000;2023.12.06 18:52:49;0.65720;0.00;0.00;0.00;0.09
175808852;2023.12.06 13:56:28;sell;0.01;nzdusd#;0.61498;0.61470;0.00000;2023.12.06 21:50:05;0.61470;0.00;0.00;0.00;0.26
175797012;2023.12.06 11:27:15;buy;0.01;gold#;2022.30;2023.55;0.00;2023.12.06 11:44:00;2023.47;0.00;0.00;0.00;1.08
175712426;2023.12.05 14:48:36;sell;0.01;gold#;2025.11;2024.34;0.00;2023.12.05 16:27:52;2024.37;0.00;0.00;0.00;0.68
175694208;2023.12.05 10:32:28;sell;0.01;eurgbp#;0.85717;0.85707;0.00000;2023.12.05 13:19:20;0.85707;0.00;0.00;0.00;0.12
175613661;2023.12.04 13:15:20;sell;0.01;gbpjpy#;185.831;185.828;0.000;2023.12.04 14:06:17;185.827;0.00;0.00;0.00;0.03
175606274;2023.12.04 11:13:54;buy;0.01;usdchf#;0.87302;0.87336;0.00000;2023.12.04 12:12:10;0.87333;0.00;0.00;0.00;0.33
175536917;2023.12.01 17:59:27;sell;0.01;gbpjpy#;186.516;186.437;0.000;2023.12.01 18:55:42;186.438;0.00;0.00;0.00;0.49
175507616;2023.12.01 12:34:59;buy;0.01;nzdusd#;0.61743;0.61756;0.00000;2023.12.01 17:02:59;0.61756;0.00;0.00;0.00;0.12
175506785;2023.12.01 12:15:18;sell;0.01;eurgbp#;0.86065;0.86043;0.00000;2023.12.01 15:49:46;0.86043;0.00;0.00;0.00;0.26
175481493;2023.12.01 09:20:38;buy;0.01;eurgbp#;0.86300;0.86317;0.00000;2023.12.01 09:51:41;0.86317;0.00;0.00;0.00;0.20
175422636;2023.11.30 13:13:30;sell;0.01;gbpjpy#;186.686;186.681;0.000;2023.11.30 13:21:24;186.680;0.00;0.00;0.00;0.04
175411379;2023.11.30 11:23:32;sell;0.01;eurusd#;109.342;109.342;0.00000;2023.11.30 11:27:13;109.342;0.00;0.00;0.00;0.00
175409294;2023.11.30 10:53:21;buy;0.01;gold#;2040.49;2040.98;0.00;2023.11.30 10:55:38;2040.98;0.00;0.00;0.00;0.45
175382330;2023.11.29 21:44:12;buy;0.01;gold#;2045.86;2046.05;0.00;2023.11.29 21:48:05;2046.04;0.00;0.00;0.00;0.16
175381992;2023.11.29 21:33:56;buy;0.01;nzdusd#;0.61610;0.61672;0.00000;2023.11.30 03:01:14;0.61671;0.00;0.00;0.00;0.55
175370345;2023.11.29 18:53:31;sell;0.01;gbpjpy#;186.977;186.974;0.000;2023.11.29 23:30:43;186.975;0.00;0.00;0.00;0.01
175368500;2023.11.29 18:14:49;buy;0.01;gold#;2041.53;2041.93;2044.35;2023.11.29 18:58:43;2041.94;0.00;0.00;0.00;0.37
175367409;2023.11.29 17:54:39;sell;0.01;gold#;2043.29;2043.24;0.00;2023.11.29 17:56:37;2043.24;0.00;0.00;0.00;0.05
175344320;2023.11.29 13:32:08;sell;0.01;gold#;2038.56;2038.29;0.00;2023.11.29 15:39:21;2038.34;0.00;0.00;0.00;0.20
175341716;2023.11.29 12:27:08;sell;0.01;gbpusd#;126.891;126.858;0.00000;2023.11.29 12:34:10;126.859;0.00;0.00;0.00;0.29
175337011;2023.11.29 11:12:30;sell;0.01;audchf#;0.58140;0.58225;0.58068;2023.11.29 11:31:26;0.58068;0.00;0.00;0.00;0.75
175336985;2023.11.29 11:11:54;sell;0.01;audusd#;0.66320;0.66373;0.66262;2023.11.29 11:31:24;0.66261;0.00;0.00;0.00;0.54
175333593;2023.11.29 10:05:53;buy;0.01;usdchf#;0.87728;0.87744;0.00000;2023.11.29 12:55:52;0.87745;0.00;0.00;0.00;0.17
175332927;2023.11.29 09:58:25;sell;0.01;gbpjpy#;187.067;186.973;0.000;2023.11.29 10:00:02;187.019;0.00;0.00;0.00;0.30
175305200;2023.11.28 19:44:34;buy;0.01;nzdusd#;0.61328;0.61370;0.00000;2023.11.28 21:58:22;0.61369;0.00;0.00;0.00;0.37
175305196;2023.11.28 19:44:26;buy;0.01;gbpusd#;126.922;126.926;0.00000;2023.11.28 21:13:03;126.925;0.00;0.00;0.00;0.03
175305188;2023.11.28 19:44:16;buy;0.01;audusd#;0.66498;0.66517;0.00000;2023.11.28 21:57:10;0.66517;0.00;0.00;0.00;0.17
175282552;2023.11.28 15:33:00;buy;0.01;eurgbp#;0.86757;0.86769;0.00000;2023.11.28 16:00:21;0.86771;0.00;0.00;0.00;0.16
175266224;2023.11.28 09:07:52;sell;0.01;eurgbp#;0.86697;0.86694;0.00000;2023.11.28 12:52:44;0.86694;0.00;0.00;0.00;0.03
175226033;2023.11.27 13:19:23;sell;0.01;usdchf#;0.88046;0.00000;0.00000;2023.11.28 08:33:24;0.88033;0.00;0.00;0.00;0.13
175216587;2023.11.27 09:53:10;buy;0.01;gbpusd#;126.133;0.00000;0.00000;2023.11.27 13:18:52;126.227;0.00;0.00;0.00;0.86
175180685;2023.11.24 15:04:41;buy;0.01;nzdusd#;0.60676;0.60678;0.00000;2023.11.24 15:48:33;0.60678;0.00;0.00;0.00;0.02
175180362;2023.11.24 14:50:01;buy;0.01;eurusd#;109.176;109.186;0.00000;2023.11.24 15:48:29;109.185;0.00;0.00;0.00;0.08
