Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
174685991;2023.10.31 19:11:03;buy;0.05;usdchf#;0.90834;0.90867;0.00000;2023.10.31 19:28:08;0.90868;0.00;0.00;0.00;1.77
174685956;2023.10.31 19:10:09;sell;0.10;eurusd#;105.747;105.739;0.00000;2023.10.31 19:28:09;105.739;0.00;0.00;0.00;0.76
174684698;2023.10.31 18:22:14;buy;1.00;sbean-jan24;131.455;131.460;0.0000;2023.11.01 16:14:46;131.445;0.00;0.00;0.00;-0.38
174683425;2023.10.31 17:58:40;sell;0.10;nzdusd#;0.58152;0.58115;0.00000;2023.10.31 18:15:57;0.58115;0.00;0.00;0.00;3.50
174683418;2023.10.31 17:58:16;sell;0.20;audusd#;0.63303;0.63272;0.00000;2023.10.31 18:15:27;0.63272;0.00;0.00;0.00;5.86
174679280;2023.10.31 16:20:51;sell;0.10;gbpusd#;121.512;121.476;0.00000;2023.10.31 16:23:27;121.479;0.00;0.00;0.00;3.11
174673650;2023.10.31 14:18:34;buy;0.10;usdjpy#;150.676;150.748;0.000;2023.10.31 14:30:01;150.742;0.00;0.00;0.00;4.12
174673101;2023.10.31 13:43:48;buy;0.10;eurusd#;106.571;106.573;0.00000;2023.10.31 13:49:19;106.573;0.00;0.00;0.00;0.19
174672970;2023.10.31 13:30:41;buy;0.10;gbpusd#;121.855;121.858;0.00000;2023.10.31 13:36:21;121.858;0.00;0.00;0.00;0.29
174672969;2023.10.31 13:30:34;buy;0.10;gbpjpy#;183.652;183.670;0.000;2023.10.31 13:39:51;183.671;0.00;0.00;0.00;1.19
174672543;2023.10.31 13:04:03;buy;1.00;oil-dec23;82.90;0.00;0.00;2023.10.31 13:30:32;82.92;0.00;0.00;0.00;1.88
174672136;2023.10.31 12:42:27;buy;0.10;audchf#;0.57426;0.57428;0.00000;2023.10.31 13:00:24;0.57428;0.00;0.00;0.00;0.21
174671622;2023.10.31 12:09:52;buy;0.05;audchf#;0.57434;0.57442;0.00000;2023.10.31 13:28:45;0.57440;0.00;0.00;0.00;0.32
174671621;2023.10.31 12:09:38;buy;0.10;audusd#;0.63661;0.63662;0.00000;2023.10.31 12:27:11;0.63662;0.00;0.00;0.00;0.10
174671619;2023.10.31 12:09:20;buy;0.10;nzdusd#;0.58478;0.58486;0.00000;2023.10.31 12:27:06;0.58486;0.00;0.00;0.00;0.75
174670258;2023.10.31 11:46:43;buy;0.10;eurgbp#;0.87365;0.87463;0.00000;2023.10.31 11:58:50;0.87485;0.00;0.00;0.00;13.72
174667649;2023.10.31 10:15:26;sell;0.10;usdjpy#;150.370;150.267;0.000;2023.10.31 10:18:32;150.283;0.00;0.00;0.00;5.45
174667512;2023.10.31 10:14:23;buy;0.10;audusd#;0.63576;0.00000;0.00000;2023.10.31 10:19:31;0.63585;0.00;0.00;0.00;0.84
174667320;2023.10.31 10:05:13;buy;0.05;audchf#;0.57359;0.00000;0.00000;2023.10.31 10:36:00;0.57374;0.00;0.00;0.00;0.78
174666195;2023.10.31 09:34:49;buy;1.00;oil-dec23;82.66;0.00;0.00;2023.10.31 09:43:18;82.66;0.00;0.00;0.00;0.00
174665265;2023.10.31 08:45:28;sell;1.00;sbean-jan24;130.207;0.0000;0.0000;2023.10.31 09:15:01;130.205;0.00;0.00;0.00;0.08
174665113;2023.10.31 08:38:48;balance;Deposit for: 79045609;;;;;;;;;;1 000.00
